n,f(n),n^2
10,239,100
60,8044,3600
110,28729,12100
160,60089,25600
210,104259,44100
260,168024,67600
310,234549,96100
360,308769,129600
410,399079,168100
460,516834,211600
510,643909,260100
560,767069,313600
610,883209,372100
660,1063604,435600
710,1239849,504100
760,1395384,577600
810,1586719,656100
860,1778939,739600
910,1984059,828100
960,2207864,921600
1010,2457714,1020100
1060,2679714,1123600
1110,3010539,1232100
1160,3254434,1345600
1210,3602594,1464100
1260,3843929,1587600
1310,4111919,1716100
1360,4532489,1849600
1410,4814099,1988100
1460,5130039,2131600
1510,5476709,2280100
1560,5850734,2433600
1610,6295019,2592100
1660,6636344,2755600
1710,7165479,2924100
1760,7529084,3097600
1810,7995004,3276100
1860,8333849,3459600
1910,8713289,3648100
1960,9307499,3841600
2010,9786199,4040100
2060,10286959,4243600
2110,10841794,4452100
2160,11274629,4665600
2210,11769309,4884100
2260,12395149,5107600
2310,12840369,5336100
2360,7083,5569600
2410,14142564,5808100
2460,14485434,6051600
2510,15076509,6300100
2560,15801239,6553600
2610,16397839,6812100
2660,17171449,7075600
2710,17723884,7344100
2760,18375539,7617600
2810,18992574,7896100
2860,19876504,8179600
2910,20602904,8468100
2960,21191754,8761600
3010,22269529,9060100
3060,22750924,9363600
3110,23489919,9672100
3160,24158989,9985600
3210,24718004,10304100
3260,25679544,10627600
3310,26845874,10956100
3360,27549679,11289600
3410,27990154,11628100
3460,28870049,11971600
3510,29915294,12320100
3560,30436554,12673600
3610,31367169,13032100
3660,32414169,13395600
3710,33712409,13764100
3760,34001014,14137600
3810,35307179,14516100
3860,36101874,14899600
3910,36971209,15288100
3960,38098654,15681600
4010,38970759,16080100
4060,39700464,16483600
4110,40752884,16892100
4160,42322374,17305600
4210,43227119,17724100
4260,43940959,18147600
4310,45196969,18576100
4360,45797859,19009600
4410,47393759,19448100
4460,48292479,19891600
4510,49515629,20340100
4560,50474854,20793600
4610,51751479,21252100
4660,52939699,21715600
4710,53528454,22184100
4760,54860384,22657600
4810,55777449,23136100
4860,57438864,23619600
4910,58034604,24108100
4960,59953344,24601600
5010,60876404,25100100
5060,61859249,25603600
5110,63575749,26112100
5160,64485399,26625600
5210,65776789,27144100
5260,66943644,27667600
5310,68400764,28196100
5360,69509249,28729600
5410,70681634,29268100
5460,71778134,29811600
5510,74233134,30360100
5560,74956839,30913600
5610,76462559,31472100
5660,77874079,32035600
5710,79335024,32604100
5760,80459404,33177600
5810,81914384,33756100
5860,83760144,34339600
5910,85148304,34928100
5960,86752084,35521600
6010,88124189,36120100
6060,88867724,36723600
6110,90223409,37332100
6160,91690544,37945600
6210,93945164,38564100
6260,95217569,39187600
6310,97127789,39816100
6360,98750664,40449600
6410,99736104,41088100
6460,101190064,41731600
6510,103553049,42380100
6560,104337379,43033600
6610,105445219,43692100
6660,106863664,44355600
6710,108743514,45024100
6760,109970169,45697600
6810,112452244,46376100
6860,114257314,47059600
6910,116181294,47748100
6960,117354639,48441600
7010,118958284,49140100
7060,121395049,49843600
7110,123459544,50552100
7160,124536784,51265600
7210,126227539,51984100
7260,129113479,52707600
7310,129090309,53436100
7360,132181674,54169600
7410,133453299,54908100
7460,135331989,55651600
7510,136412189,56400100
7560,138818814,57153600
7610,141401209,57912100
7660,142023954,58675600
7710,144258619,59444100
7760,146817554,60217600
7810,148176079,60996100
7860,150555804,61779600
7910,152130044,62568100
7960,153508959,63361600
8010,155862584,64160100
8060,157851769,64963600
8110,158865744,65772100
8160,161684284,66585600
8210,163408654,67404100
8260,164577584,68227600
8310,167300914,69056100
8360,169821469,69889600
8410,172021949,70728100
