n,f(n),n^2
10,167,100
60,4097,3600
110,15490,12100
160,30350,25600
210,53987,44100
260,90241,67600
310,128727,96100
360,164198,129600
410,205762,168100
460,270004,211600
510,342954,260100
560,390408,313600
610,463966,372100
660,538925,435600
710,662155,504100
760,730687,577600
810,841318,656100
860,918301,739600
910,1035255,828100
960,1128768,921600
1010,1275815,1020100
1060,1343147,1123600
1110,1536327,1232100
1160,1689638,1345600
1210,1907660,1464100
1260,2037709,1587600
1310,2093395,1716100
1360,2370208,1849600
1410,2508852,1988100
1460,2687628,2131600
1510,2788662,2280100
1560,3040628,2433600
1610,3306677,2592100
1660,3433989,2755600
1710,3726017,2924100
1760,3989621,3097600
1810,4157729,3276100
1860,4254386,3459600
1910,4387301,3648100
1960,4911766,3841600
2010,5025826,4040100
2060,5301881,4243600
2110,5574207,4452100
2160,5811754,4665600
2210,6073933,4884100
2260,6461880,5107600
2310,6499525,5336100
2360,6796464,5569600
2410,7322349,5808100
2460,7393391,6051600
2510,7792668,6300100
2560,8081497,6553600
2610,8421444,6812100
2660,8880890,7075600
2710,9250953,7344100
2760,9409561,7617600
2810,9800131,7896100
2860,10214991,8179600
2910,10631039,8468100
2960,10796706,8761600
3010,11757771,9060100
3060,11689660,9363600
3110,12015382,9672100
3160,12632589,9985600
3210,12727389,10304100
3260,13267681,10627600
3310,13907174,10956100
3360,14340185,11289600
3410,14278056,11628100
3460,15104290,11971600
3510,15574604,12320100
3560,15669457,12673600
3610,16062885,13032100
3660,16966899,13395600
3710,17513334,13764100
3760,17546982,14137600
3810,18304614,14516100
3860,18504774,14899600
3910,19061230,15288100
3960,19830743,15681600
4010,20074522,16080100
4060,20338834,16483600
4110,21023238,16892100
4160,21987547,17305600
4210,22331660,17724100
4260,22251096,18147600
4310,23294921,18576100
4360,23422158,19009600
4410,24448050,19448100
4460,24981109,19891600
4510,25788019,20340100
4560,26422841,20793600
4610,26667910,21252100
4660,27563601,21715600
4710,27379019,22184100
4760,28468247,22657600
4810,28853808,23136100
4860,29703367,23619600
4910,29579260,24108100
4960,31210216,24601600
5010,31507131,25100100
5060,31703063,25603600
5110,32680478,26112100
5160,33172933,26625600
5210,34774146,27144100
5260,34441230,27667600
5310,35444783,28196100
5360,35445008,28729600
5410,36630062,29268100
5460,36786120,29811600
5510,38652935,30360100
5560,38983762,30913600
5610,39773011,31472100
5660,39948880,32035600
5710,40864697,32604100
5760,41549625,33177600
5810,42147030,33756100
5860,43103960,34339600
5910,44262958,34928100
5960,45039795,35521600
6010,45024296,36120100
6060,45950362,36723600
6110,45978289,37332100
6160,47512927,37945600
6210,48177215,38564100
6260,49034951,39187600
6310,50532246,39816100
6360,51117964,40449600
6410,51048219,41088100
6460,52433383,41731600
6510,54070772,42380100
6560,54180337,43033600
6610,54271911,43692100
6660,55080240,44355600
6710,56547058,45024100
6760,55945036,45697600
6810,58067560,46376100
6860,58705039,47059600
6910,59682966,47748100
6960,59966995,48441600
7010,61544857,49140100
7060,62300234,49843600
7110,63813589,50552100
7160,64330134,51265600
7210,64915772,51984100
7260,66438514,52707600
7310,65802626,53436100
7360,68066920,54169600
7410,69029135,54908100
7460,69436189,55651600
7510,69123560,56400100
7560,71059532,57153600
7610,72931531,57912100
7660,72571288,58675600
7710,73885312,59444100
7760,76086268,60217600
7810,76380335,60996100
7860,77938780,61779600
7910,78990729,62568100
7960,79015595,63361600
8010,80612998,64160100
8060,81945991,64963600
8110,82256510,65772100
8160,83346100,66585600
8210,84913165,67404100
8260,84690025,68227600
8310,85807615,69056100
8360,87395744,69889600
8410,88837572,70728100
8460,89497290,71571600
8510,91124316,72420100
8560,92447850,73273600
8610,92315825,74132100
8660,94499237,74995600
8710,94786838,75864100
8760,95117406,76737600
8810,97453452,77616100
8860,99017190,78499600
8910,98997841,79388100
8960,100124649,80281600
9010,101490576,81180100
9060,102947188,82083600
9110,103414097,82992100
9160,105121330,83905600
9210,106227188,84824100
9260,107879626,85747600
9310,108541373,86676100
9360,109041022,87609600
9410,110244710,88548100
9460,110153520,89491600
9510,113252438,90440100
9560,114894076,91393600
9610,115088451,92352100
9660,116973573,93315600
9710,117592289,94284100
9760,118717446,95257600
9810,121318693,96236100
9860,122665431,97219600
9910,124397143,98208100
9960,125007379,99201600
