n,f(n),n^2
10,239,100
60,7202,3600
110,24893,12100
160,51989,25600
210,89771,44100
260,142310,67600
310,199505,96100
360,264317,129600
410,341783,168100
460,438716,211600
510,544241,260100
560,650417,313600
610,755381,372100
660,901898,435600
710,1048925,504100
760,1186526,577600
810,1348607,656100
860,1514219,739600
910,1690571,828100
960,1881134,921600
1010,2090324,1020100
1060,2285804,1123600
1110,2549579,1232100
1160,2764196,1345600
1210,3044372,1464100
1260,3263453,1587600
1310,3501527,1716100
1360,3834149,1849600
1410,4086395,1988100
1460,4362239,2131600
1510,4659521,2280100
1560,4976216,2433600
1610,5338067,2592100
1660,5641142,2755600
1710,6059903,2924100
1760,6382346,3097600
1810,6769178,3276100
1860,7082765,3459600
1910,7423709,3648100
1960,7896515,3841600
2010,8303015,4040100
2060,8725751,4243600
2110,9183932,4452100
2160,9571913,4665600
2210,10000001,4884100
2260,10509785,5107600
2310,10914197,5336100
2360,11437214,5569600
2410,11979074,5808100
2460,12331076,6051600
2510,12835001,6300100
2560,13422119,6553600
2610,13935359,6812100
2660,14557805,7075600
2710,15050546,7344100
2760,15605819,7617600
2810,16143320,7896100
2860,16843958,8179600
2910,17453078,8468100
2960,17982668,8761600
3010,18808613,9060100
3060,19279730,9363600
3110,19908407,9672100
3160,20498129,9985600
3210,21024818,10304100
3260,21796022,10627600
3310,22693100,10956100
3360,23315663,11289600
3410,23783228,11628100
3460,24517445,11971600
3510,25353872,12320100
3560,25878908,12673600
3610,26652557,13032100
